declarationRequestNumber,region,stateAbbreviation,state,tribalRequest,declarationRequestDate,declarationRequestType,incidentName,requestedIncidentTypes,requestedIncidentBeginDate,requestedIncidentEndDate,currentRequestStatus,requestStatusDate,ihProgramRequested,iaProgramRequested,paProgramRequested,hmProgramRequested,incidentId,incidentBeginDate,id
21004,3,MD,Maryland                      ,0,2021-01-15T00:00:00.000Z,Emergency,National Special Security Event - 59th Presidentia,Other,2021-01-06T00:00:00.000Z,,Turndown,2021-03-17T00:00:00.000Z,0,0,1,0,2021011002,2021-01-06T00:00:00.000Z,552e9228-0608-4827-a008-1d54307f114c
21008,4,AL,Alabama                       ,0,2021-02-12T00:00:00.000Z,Major Disaster,Severe Weather/Tornados,Tornado,2021-01-25T00:00:00.000Z,2021-01-25T00:00:00.000Z,Turndown,2021-03-17T00:00:00.000Z,1,0,0,1,2021020401,2021-01-25T00:00:00.000Z,277b4a07-2847-4659-8a57-78cd8916b3b6
21057,8,WY,Wyoming                       ,0,2021-05-07T00:00:00.000Z,Major Disaster,WY 2021 Winter Storm-Snow,Snowstorm,2021-03-13T00:00:00.000Z,2021-03-15T00:00:00.000Z,Turndown,2021-07-21T00:00:00.000Z,0,0,1,1,2021051201,2021-03-13T00:00:00.000Z,0e733352-7bba-402c-8598-21c113f1d35a
21076,8,MT,Montana                       ,1,2021-08-02T00:00:00.000Z,Major Disaster,MT - Ft Peck Indian Res - Straight Line Winds,Severe Storm,2021-06-08T00:00:00.000Z,2021-06-08T00:00:00.000Z,Turndown,2021-09-13T00:00:00.000Z,1,0,0,1,2021080902,2021-06-08T00:00:00.000Z,fbb30301-8da7-4c16-9dfd-328f107c2ab2
21079,4,KY,Kentucky                      ,0,2021-08-19T00:00:00.000Z,Major Disaster,R4 Kentucky Flash Flooding,Flood,2021-07-29T00:00:00.000Z,2021-07-30T00:00:00.000Z,Turndown,2021-10-08T00:00:00.000Z,1,0,0,1,2021080601,2021-07-29T00:00:00.000Z,78bb7eeb-a103-4679-8882-a1110b2f1923
21108,3,MD,Maryland                      ,0,2021-09-27T00:00:00.000Z,Major Disaster,Remnants of Hurricane Ida,Hurricane,2021-08-31T00:00:00.000Z,2021-09-04T00:00:00.000Z,Turndown,2021-10-08T00:00:00.000Z,1,0,0,1,2021082601,2021-08-27T00:00:00.000Z,8ad50cdb-7eed-495d-a8db-e7927a1bdb99
21109,6,TX,Texas                         ,0,2021-09-20T00:00:00.000Z,Emergency,Texas - Border Security,Other,2021-05-31T00:00:00.000Z,,Turndown,2021-10-24T00:00:00.000Z,0,0,1,0,2021092001,2021-05-31T00:00:00.000Z,180b30e1-acfa-47a7-a70e-74b7788ab553
21112,5,MN,Minnesota                     ,1,2021-09-30T00:00:00.000Z,Major Disaster,Red Lake Severe Storms,Tornado,2021-07-26T00:00:00.000Z,2021-07-26T00:00:00.000Z,Turndown,2021-10-24T00:00:00.000Z,1,0,1,1,2021092801,2021-07-26T00:00:00.000Z,a67cf90d-03ac-4129-93eb-5616a7ab169a
21114,6,NM,New Mexico                    ,0,2021-10-06T00:00:00.000Z,Major Disaster,New Mexico Severe Storms and Flooding,Flood,2021-08-12T00:00:00.000Z,2021-08-16T00:00:00.000Z,Turndown,2021-11-12T00:00:00.000Z,1,0,1,1,2021100601,2021-08-12T00:00:00.000Z,7e22d368-79e8-4d15-8078-02095cbc083a
21118,10,OR,Oregon                        ,0,2021-10-06T00:00:00.000Z,Major Disaster,OR-Bootleg Fire-07/10/21,Fire,2021-07-06T00:00:00.000Z,2021-08-15T00:00:00.000Z,Turndown,2021-10-26T00:00:00.000Z,1,0,0,1,2021071101,2021-07-10T00:00:00.000Z,eea568f4-db2b-4fd8-ad50-fee922d6d1ae
22006,4,FL,Florida                       ,0,2022-01-24T00:00:00.000Z,Major Disaster,R04 FL Severe Storms and Tornadoes,Tornado,2022-01-16T00:00:00.000Z,2022-01-16T00:00:00.000Z,Turndown,2022-04-24T00:00:00.000Z,1,0,0,0,2022011801,2022-01-16T00:00:00.000Z,9829b41f-c453-4c56-a022-1f5fb27919c9
22035,4,MS,Mississippi                   ,0,2022-04-28T00:00:00.000Z,Major Disaster,"Severe Storms and Tornadoes - March 21-22, 2022",Severe Storm,2022-03-22T00:00:00.000Z,2022-03-22T00:00:00.000Z,Turndown,2022-07-18T00:00:00.000Z,1,0,0,1,2022032102,2022-03-21T00:00:00.000Z,2b423598-8117-40c7-8b61-a07b697c44e9
22037,4,MS,Mississippi                   ,0,2022-04-29T00:00:00.000Z,Major Disaster,R04 Severe Storms,Severe Storm,2022-03-30T00:00:00.000Z,2022-03-30T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022033001,2022-03-30T00:00:00.000Z,29268e55-4f64-42e7-b9e5-cbd83801353d
22044,4,TN,Tennessee                     ,0,2022-05-27T00:00:00.000Z,Major Disaster,R04 Wears Valley Wildfire ,Fire,2022-03-30T00:00:00.000Z,2022-04-05T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022051203,2022-03-30T00:00:00.000Z,e62519d3-1462-4629-af9a-74367319f2b7
22045,3,WV,West Virginia                 ,0,2022-06-03T00:00:00.000Z,Major Disaster,"WV, Severe Storms and Flooding- May 6, 2022",Flood,2022-05-06T00:00:00.000Z,2022-05-07T00:00:00.000Z,Turndown,2022-08-27T00:00:00.000Z,1,0,0,1,2022052301,2022-05-06T00:00:00.000Z,bcf809e1-5d6e-4676-9099-e3b0ca877da9
22046,5,MI,Michigan                      ,0,2022-06-08T00:00:00.000Z,Major Disaster,MI - Otsego County - Tornado and Severe Weather,Tornado,2022-05-20T00:00:00.000Z,2022-05-20T00:00:00.000Z,Turndown,2022-07-02T00:00:00.000Z,1,0,0,1,2022060301,2022-05-20T00:00:00.000Z,d50b7d5a-7c55-4eba-b11b-f214e2f112b2
22081,10,OR,Oregon                        ,0,2022-09-09T00:00:00.000Z,Emergency,OR_Wildfire Response ,Fire,2022-09-08T00:00:00.000Z,,Turndown,2023-01-04T00:00:00.000Z,0,0,1,0,2022091001,2022-09-08T00:00:00.000Z,483b6454-3052-4661-b81a-6816a29628ba
22092,4,GA,Georgia                       ,0,2022-10-04T00:00:00.000Z,Major Disaster,"R4 Flooding in Chattooga/Floyd Counties, GA",Flood,2022-09-04T00:00:00.000Z,2022-09-14T00:00:00.000Z,Turndown,2022-12-31T00:00:00.000Z,1,0,0,0,2022090602,2022-09-04T00:00:00.000Z,3f88bfd5-b9c2-4c60-ae2b-fbb0a86d4a38
22094,3,WV,West Virginia                 ,0,2022-10-14T00:00:00.000Z,Major Disaster,WV Severe Storms and Flooding ,Flood,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,Turndown,2022-12-05T00:00:00.000Z,0,0,1,1,2022092002,2022-07-25T00:00:00.000Z,14086b75-95c1-4d93-965c-b374077675cd
22095,3,WV,West Virginia                 ,0,2022-10-14T00:00:00.000Z,Major Disaster,WV Severe Storms and Flooding ,Flood,2022-08-11T00:00:00.000Z,2022-08-11T00:00:00.000Z,Turndown,2022-12-05T00:00:00.000Z,0,0,1,1,2022092001,2022-08-11T00:00:00.000Z,08f9fb37-a948-41ee-8e38-fff8788a2f3b
22098,8,UT,Utah                          ,0,2022-10-19T00:00:00.000Z,Major Disaster,UT Flooding - 08/19/2022,Flood,2022-08-19T00:00:00.000Z,2022-08-21T00:00:00.000Z,Turndown,2023-01-18T00:00:00.000Z,0,0,1,1,2022092701,2022-08-19T00:00:00.000Z,61869be6-c60c-46ce-aa10-5f8366e28808
22100,9,CA,California                    ,0,2022-10-26T00:00:00.000Z,Major Disaster,California Extreme Heat Event and Wildfires,Fire,2022-08-29T00:00:00.000Z,,Turndown,2023-05-16T00:00:00.000Z,1,0,1,1,2022100501,2022-08-30T00:00:00.000Z,61e7adf4-81c3-4dbb-8feb-88111d4d6d28
23001,6,OK,Oklahoma                      ,1,2023-01-03T00:00:00.000Z,Major Disaster,Severe Weather 11/4/2022,Severe Storm,2022-11-04T00:00:00.000Z,2022-11-04T00:00:00.000Z,Turndown,2023-05-18T00:00:00.000Z,0,0,1,1,2022110401,2022-11-04T00:00:00.000Z,1b4db5aa-666f-4939-ad97-68ae35aed74c
23010,6,TX,Texas                         ,0,2023-02-07T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2023-01-24T00:00:00.000Z,2023-01-24T00:00:00.000Z,Turndown,2023-03-16T00:00:00.000Z,1,0,0,1,2023012401,2023-01-24T00:00:00.000Z,e42408b7-13e5-4e1d-8e70-98a978a3540c
23019,9,HI,Hawaii                        ,0,2023-01-20T00:00:00.000Z,Major Disaster,Mauna Loa Volcanic Eruption,Volcanic Eruption,2022-11-27T00:00:00.000Z,2022-12-16T00:00:00.000Z,Turndown,2023-03-01T00:00:00.000Z,0,0,1,1,2022120301,2022-11-28T00:00:00.000Z,ae4f5a22-7462-44f5-877c-8d7530f79187
23020,10,OR,Oregon                        ,0,2023-02-28T00:00:00.000Z,Major Disaster,OR_Severe Winter Storm,Severe Storm,2022-12-26T00:00:00.000Z,2022-12-31T00:00:00.000Z,Turndown,2023-04-05T00:00:00.000Z,0,0,1,1,2023020101,2022-12-26T00:00:00.000Z,1429753d-be91-422d-b97e-688293c87a67
23026,8,ND,North Dakota                  ,0,2023-03-21T00:00:00.000Z,Major Disaster,ND freezing fog,Freezing,2023-01-16T00:00:00.000Z,2023-01-20T00:00:00.000Z,Turndown,2023-05-09T00:00:00.000Z,0,0,1,1,2023031701,2023-01-16T00:00:00.000Z,b7873767-9430-4c1a-b968-463cf8f00c5e
23040,5,IL,Illinois                      ,0,2023-04-05T00:00:00.000Z,Emergency,R5-Illinois-March 31st Severe Storms Tornadoes ,Severe Storm,2023-03-31T00:00:00.000Z,2023-04-01T00:00:00.000Z,Turndown,2023-05-06T00:00:00.000Z,0,0,1,0,2023041002,2023-03-31T00:00:00.000Z,35c2af0e-cb6b-4394-884f-7d4556cac345
23051,1,NH,New Hampshire                 ,0,2023-05-12T00:00:00.000Z,Major Disaster,Severe Winter Storm ,Snowstorm,2023-03-13T00:00:00.000Z,2023-03-15T00:00:00.000Z,Turndown,2023-12-23T00:00:00.000Z,0,0,1,1,2023032901,2023-03-13T00:00:00.000Z,62dcc272-eb56-491a-b111-cb5af5c888d7
23055,4,GA,Georgia                       ,0,2023-05-26T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2023-03-25T00:00:00.000Z,2023-03-27T00:00:00.000Z,Turndown,2023-08-22T00:00:00.000Z,1,0,1,1,2023032302,2023-03-24T00:00:00.000Z,fc757e76-15c2-4df6-995d-501ed0923d67
23057,7,IA,Iowa                          ,0,2023-06-06T00:00:00.000Z,Emergency,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-06-28T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,ce277cbc-0e7c-4107-b56f-543cf9a4c566
23060,5,MI,Michigan                      ,0,2023-06-15T00:00:00.000Z,Major Disaster,Flooding/ Spring Thaw/ Snow Melt MI,Flood,2023-04-10T00:00:00.000Z,2023-05-14T00:00:00.000Z,Turndown,2023-08-25T00:00:00.000Z,0,0,1,1,2023051102,2023-04-10T00:00:00.000Z,23452a36-8da3-49d4-87d0-3420a3900bab
23066,10,AK,Alaska                        ,1,2023-06-29T00:00:00.000Z,Emergency,ICAS_Severed Fiber Optic Cable,Other,2023-06-10T00:00:00.000Z,,Turndown,2024-01-31T00:00:00.000Z,0,0,1,0,2023070601,2023-06-10T00:00:00.000Z,9cc32ee5-a474-461a-917f-2042d9af1fa4
23079,1,NH,New Hampshire                 ,0,2023-07-28T00:00:00.000Z,Major Disaster,Flooding ,Flood,2023-04-30T00:00:00.000Z,2023-05-01T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,0,0,1,1,2023051002,2023-04-30T00:00:00.000Z,096cd7ed-e61d-43b7-b006-29d7d48e2481
23082,3,PA,Pennsylvania                  ,0,2023-07-31T00:00:00.000Z,Major Disaster,R3_07092023 Severe Storms and Flooding _PA,Flood,2023-07-09T00:00:00.000Z,2023-07-09T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,1,1,2023071702,2023-07-09T00:00:00.000Z,6ae3a11f-a61c-4b35-b0fe-ebea2d19107c
23094,7,IA,Iowa                          ,0,2023-06-20T00:00:00.000Z,Major Disaster,R7 Iowa Building Collapse,Other,2023-05-28T00:00:00.000Z,2023-05-28T00:00:00.000Z,Turndown,2023-08-15T00:00:00.000Z,0,0,1,0,2023060701,2023-05-28T00:00:00.000Z,9352d7b9-f3e7-4776-a301-facfd4149cff
23099,4,KY,Kentucky                      ,0,2023-08-18T00:00:00.000Z,Major Disaster,Severe Storms straight-line winds & flash flooding,Severe Storm,2023-07-17T00:00:00.000Z,2023-07-20T00:00:00.000Z,Turndown,2024-02-26T00:00:00.000Z,1,0,0,0,2023073102,2023-07-16T00:00:00.000Z,7dd2a4b7-b111-461b-a574-db4d81959848
23117,10,AK,Alaska                        ,0,2023-09-05T00:00:00.000Z,Major Disaster,AK_Mendenhall Glacier Dam Burst,Dam/Levee Break,2023-08-04T00:00:00.000Z,2023-08-06T00:00:00.000Z,Turndown,2023-09-26T00:00:00.000Z,1,0,1,1,2023081501,2023-08-05T00:00:00.000Z,0c808de6-c294-477e-a5a6-35ca9ad71e81
23136,3,PA,Pennsylvania                  ,0,2023-11-09T00:00:00.000Z,Major Disaster,R3_ Pennsylvania Severe Storms and Flooding,Flood,2023-09-09T00:00:00.000Z,2023-09-10T00:00:00.000Z,Turndown,2024-03-15T00:00:00.000Z,1,0,1,1,2023091801,2023-09-09T00:00:00.000Z,325778e3-694f-4996-b31d-f6c8690dd236
24004,10,AK,Alaska                        ,0,2024-01-24T00:00:00.000Z,Major Disaster,AK_Permafrost Degradation,Other,2023-11-26T00:00:00.000Z,2023-11-27T00:00:00.000Z,Turndown,2024-03-15T00:00:00.000Z,0,0,1,1,2024011801,2023-11-26T00:00:00.000Z,86f6ecae-289a-4f47-8b22-2af3ab11fafe
24006,4,SC,South Carolina                ,0,2024-02-02T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2024-01-09T00:00:00.000Z,2024-01-10T00:00:00.000Z,Turndown,2024-03-15T00:00:00.000Z,1,0,0,0,2024011101,2024-01-11T00:00:00.000Z,b7df88f0-184c-43ae-ac85-f1a7b483bf0d
24007,4,FL,Florida                       ,0,2024-02-05T00:00:00.000Z,Major Disaster,Severe Weather,Severe Storm,2024-01-09T00:00:00.000Z,2024-01-09T00:00:00.000Z,Turndown,2024-03-15T00:00:00.000Z,1,0,1,1,2024011101,2024-01-11T00:00:00.000Z,c5d18cc7-cb2a-46bc-b7db-21ff6458a127
24009,7,IA,Iowa                          ,0,2024-02-13T00:00:00.000Z,Major Disaster,R7 Winter Storms Iowa,Winter Storm,2024-01-08T00:00:00.000Z,2024-01-14T00:00:00.000Z,Turndown,2024-08-15T00:00:00.000Z,0,0,1,1,2024012501,2024-01-08T00:00:00.000Z,e9e6f0b2-4fe5-478e-9975-a318d6080c70
24015,8,SD,South Dakota                  ,1,2018-08-17T00:00:00.000Z,Major Disaster,SD - Severe Storms 07/04/2018,Severe Storm,2018-06-29T00:00:00.000Z,2018-07-04T00:00:00.000Z,Turndown,2018-09-18T00:00:00.000Z,1,0,1,1,2018072602,2018-07-03T00:00:00.000Z,0c9e2938-53e8-4989-bba3-db98a06ddc12
24016,8,SD,South Dakota                  ,1,2018-08-27T00:00:00.000Z,Major Disaster,OST severe storm 07/27/2018,Severe Storm,2018-07-27T00:00:00.000Z,2018-07-29T00:00:00.000Z,Turndown,2018-09-18T00:00:00.000Z,1,0,0,1,2024022901,2018-07-27T00:00:00.000Z,a15291c4-1acb-4b9d-ac74-f2f559e93bbe
24025,4,KY,Kentucky                      ,0,2024-03-27T00:00:00.000Z,Major Disaster,"Severe Weather - Winds, Heavy Rains, and Tornadoes",Severe Storm,2024-03-14T00:00:00.000Z,2024-03-14T00:00:00.000Z,Turndown,2024-04-19T00:00:00.000Z,1,0,0,0,2024031501,2024-03-14T00:00:00.000Z,6a775d10-a548-4071-83b5-2d6438995a7d
24038,9,CA,California                    ,1,2024-03-21T00:00:00.000Z,Major Disaster,Sycuan Band of Kumeyaay Nation ,Flood,2024-01-21T00:00:00.000Z,2024-01-23T00:00:00.000Z,Turndown,2024-05-24T00:00:00.000Z,0,0,1,1,2024050601,2024-01-21T00:00:00.000Z,275e2d71-95a5-482a-94d3-acb766440fe9
24041,4,SC,South Carolina                ,0,2024-05-07T00:00:00.000Z,Major Disaster,Severe Storms & Hail,Severe Storm,2024-04-20T00:00:00.000Z,2024-04-21T00:00:00.000Z,Turndown,2024-05-22T00:00:00.000Z,1,0,0,0,2024042903,2024-04-20T00:00:00.000Z,aa3e13de-8f98-4529-a108-5d48dcb07482
24051,5,OH,Ohio                          ,0,2024-06-03T00:00:00.000Z,Major Disaster,R5 Ohio Severe Storms Eastern Counties,Severe Storm,2024-04-01T00:00:00.000Z,2024-04-04T00:00:00.000Z,Turndown,2024-08-30T00:00:00.000Z,0,0,1,1,2024042201,2024-04-01T00:00:00.000Z,1e13c6ed-b2d7-4d1c-8f7c-dc3b08be5519
24052,10,AK,Alaska                        ,0,2024-06-04T00:00:00.000Z,Major Disaster,AK_City of Kivalina Fire,Fire,2024-04-09T00:00:00.000Z,2024-04-09T00:00:00.000Z,Turndown,2024-07-03T00:00:00.000Z,0,0,1,1,2024051501,2024-04-09T00:00:00.000Z,f4edfeb1-7177-4db4-bb65-4dbb9182cdc1
24053,10,AK,Alaska                        ,0,2024-06-04T00:00:00.000Z,Major Disaster,AK_South Tongass VFD Fire,Fire,2024-04-09T00:00:00.000Z,2024-04-09T00:00:00.000Z,Turndown,2024-07-12T00:00:00.000Z,0,0,1,1,2024051502,2024-04-09T00:00:00.000Z,b60193b5-0657-45b5-b355-46044f99d108
24175,9,CA,California                    ,0,2024-09-24T00:00:00.000Z,Major Disaster,Park and Borel Fires,Fire,2024-07-24T00:00:00.000Z,2024-08-26T00:00:00.000Z,Turndown,2024-11-04T00:00:00.000Z,1,0,1,1,2024100101,2024-07-24T00:00:00.000Z,0dae9584-9b26-4268-9455-42c7e5be734b
53001,4,GA,Georgia                       ,0,1953-08-21T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1953-08-21T00:00:00.000Z,1953-08-21T00:00:00.000Z,Turndown,1953-08-21T00:00:00.000Z,0,0,0,0,53001,1953-08-21T00:00:00.000Z,533499ac-cde6-4eeb-82ce-e230ccfa5096
53002,9,CA,California                    ,0,1953-12-10T00:00:00.000Z,Major Disaster,BEACH EROSION,Mud/Landslide,1953-12-10T00:00:00.000Z,1953-12-10T00:00:00.000Z,Turndown,1953-12-10T00:00:00.000Z,0,0,0,0,53002,1953-12-10T00:00:00.000Z,915681b2-847d-45c6-99c4-b1ab740cdebe
54001,5,MN,Minnesota                     ,0,1954-07-01T00:00:00.000Z,Major Disaster,CROP INFESTATION - ARMY WORMS,Crop Losses,1954-07-01T00:00:00.000Z,1954-07-01T00:00:00.000Z,Turndown,1954-07-01T00:00:00.000Z,0,0,0,0,54001,1954-07-01T00:00:00.000Z,3641bbbe-37c8-4005-bce0-9566850313f5
54002,5,MI,Michigan                      ,0,1954-12-10T00:00:00.000Z,Major Disaster,FLOOD,Flood,1954-12-10T00:00:00.000Z,1954-12-10T00:00:00.000Z,Turndown,1954-12-10T00:00:00.000Z,0,0,0,0,54002,1954-12-10T00:00:00.000Z,c3290921-0fd5-4d1a-9fb2-43230bc05561
55001,4,KY,Kentucky                      ,0,1955-03-01T00:00:00.000Z,Major Disaster,FLOOD,Flood,1955-03-01T00:00:00.000Z,1955-03-01T00:00:00.000Z,Turndown,1955-03-01T00:00:00.000Z,0,0,0,0,55001,1955-03-01T00:00:00.000Z,644d7855-4bc3-4fcc-a3ae-728805a9bfc8
55002,5,OH,Ohio                          ,0,1955-04-08T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1955-04-08T00:00:00.000Z,1955-04-08T00:00:00.000Z,Turndown,1955-04-08T00:00:00.000Z,0,0,0,0,55002,1955-04-08T00:00:00.000Z,e0e40d72-5092-4a96-b219-5c2e4a34bb10
56001,6,OK,Oklahoma                      ,0,1956-10-15T00:00:00.000Z,Major Disaster,FIRE,Fire,1956-10-15T00:00:00.000Z,1956-10-15T00:00:00.000Z,Turndown,1956-10-15T00:00:00.000Z,0,0,0,0,56001,1956-10-15T00:00:00.000Z,ed81f72d-5b30-4155-83e3-11426931cb63
56002,3,PA,Pennsylvania                  ,0,1956-11-30T00:00:00.000Z,Major Disaster,SNOW STORM,Snowstorm,1956-11-30T00:00:00.000Z,1956-11-30T00:00:00.000Z,Turndown,1956-11-30T00:00:00.000Z,0,0,0,0,56002,1956-11-30T00:00:00.000Z,6c3e22fd-afb0-4d4e-8c4a-e557724e1287
57001,9,NV,Nevada                        ,0,1957-01-25T00:00:00.000Z,Major Disaster,WATER SHORTAGE,Drought,1957-01-25T00:00:00.000Z,1957-01-25T00:00:00.000Z,Turndown,1957-01-25T00:00:00.000Z,0,0,0,0,57001,1957-01-25T00:00:00.000Z,779e1433-bc49-481c-b089-db6596b2fee9
57002,4,SC,South Carolina                ,0,1957-04-15T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1957-04-15T00:00:00.000Z,1957-04-15T00:00:00.000Z,Turndown,1957-04-15T00:00:00.000Z,0,0,0,0,57002,1957-04-15T00:00:00.000Z,72b1e45b-9652-4b03-917f-c340a344e061
57003,4,NC,North Carolina                ,0,1957-04-16T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1957-04-16T00:00:00.000Z,1957-04-16T00:00:00.000Z,Turndown,1957-04-16T00:00:00.000Z,0,0,0,0,57003,1957-04-16T00:00:00.000Z,4ff54a6a-85fe-4c6b-81bb-22fde4aa6b6d
57004,4,AL,Alabama                       ,0,1957-04-26T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1957-04-26T00:00:00.000Z,1957-04-26T00:00:00.000Z,Turndown,1957-04-26T00:00:00.000Z,0,0,0,0,57004,1957-04-26T00:00:00.000Z,4cd75cb0-9445-49f8-8862-f749e4c358d5
57005,1,MA,Massachusetts                 ,0,1957-05-15T00:00:00.000Z,Major Disaster,FOREST FIRE,Fire,1957-05-15T00:00:00.000Z,1957-05-15T00:00:00.000Z,Turndown,1957-05-15T00:00:00.000Z,0,0,0,0,57005,1957-05-15T00:00:00.000Z,741c0637-eacb-4d3a-846c-f7739322ddd8
57006,5,OH,Ohio                          ,0,1957-05-25T00:00:00.000Z,Major Disaster,WINDSTORM,Severe Storm,1957-05-25T00:00:00.000Z,1957-05-25T00:00:00.000Z,Turndown,1957-05-25T00:00:00.000Z,0,0,0,0,57006,1957-05-25T00:00:00.000Z,a9aefcd0-5625-4a2b-9f30-d7f4ca37bbce
57007,8,CO,Colorado                      ,0,1957-06-03T00:00:00.000Z,Major Disaster,FLOOD,Flood,1957-06-03T00:00:00.000Z,1957-06-03T00:00:00.000Z,Turndown,1957-06-03T00:00:00.000Z,0,0,0,0,57007,1957-06-03T00:00:00.000Z,beb834bd-dc5b-46ed-9aad-3738369de9f7
57008,8,SD,South Dakota                  ,0,1957-06-21T00:00:00.000Z,Major Disaster,FLOOD,Flood,1957-06-21T00:00:00.000Z,1957-06-21T00:00:00.000Z,Turndown,1957-06-21T00:00:00.000Z,0,0,0,0,57008,1957-06-21T00:00:00.000Z,568fe3b3-7c2e-4b52-a96d-40d606cac037
57009,7,IA,Iowa                          ,0,1957-06-26T00:00:00.000Z,Major Disaster,FLOOD,Flood,1957-06-26T00:00:00.000Z,1957-06-26T00:00:00.000Z,Turndown,1957-06-26T00:00:00.000Z,0,0,0,0,57009,1957-06-26T00:00:00.000Z,58207226-dddf-447f-9081-dc816ceaed59
57010,7,MO,Missouri                      ,0,1957-09-16T00:00:00.000Z,Major Disaster,WINDS & TORRENTIAL RAINS,Severe Storm,1957-09-16T00:00:00.000Z,1957-09-16T00:00:00.000Z,Turndown,1957-09-16T00:00:00.000Z,0,0,0,0,57010,1957-09-16T00:00:00.000Z,42a06f72-9c10-4f21-8cc7-8edbd279bb2d
57011,7,MO,Missouri                      ,0,1957-12-17T00:00:00.000Z,Major Disaster,EXCESSIVE RAINFALL,Severe Storm,1957-12-17T00:00:00.000Z,1957-12-17T00:00:00.000Z,Turndown,1957-12-17T00:00:00.000Z,0,0,0,0,57011,1957-12-17T00:00:00.000Z,5d2c7a0d-a7bf-4231-a7b2-fdc3613c961c
58001,5,IL,Illinois                      ,0,1958-01-17T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1958-01-17T00:00:00.000Z,1958-01-17T00:00:00.000Z,Turndown,1958-01-17T00:00:00.000Z,0,0,0,0,58001,1958-01-17T00:00:00.000Z,37b93124-45f0-4dbe-96f1-7fdb779e5b83
58002,4,GA,Georgia                       ,0,1958-02-03T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1958-02-03T00:00:00.000Z,1958-02-03T00:00:00.000Z,Turndown,1958-02-03T00:00:00.000Z,0,0,0,0,58002,1958-02-03T00:00:00.000Z,3c9b2b27-9a33-446a-9b3a-cf12da57e122
58003,7,MO,Missouri                      ,0,1958-02-22T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1958-02-22T00:00:00.000Z,1958-02-22T00:00:00.000Z,Turndown,1958-02-22T00:00:00.000Z,0,0,0,0,58003,1958-02-22T00:00:00.000Z,7dedf792-db03-4874-a5a1-20ac8e04f11b
58004,4,AL,Alabama                       ,0,1958-03-08T00:00:00.000Z,Major Disaster,SEVERE WINTER WEATHER,Snowstorm,1958-03-08T00:00:00.000Z,1958-03-08T00:00:00.000Z,Turndown,1958-03-08T00:00:00.000Z,0,0,0,0,58004,1958-03-08T00:00:00.000Z,be257055-ffbe-4000-9f9f-bfdefb873f32
58005,4,SC,South Carolina                ,0,1958-03-13T00:00:00.000Z,Major Disaster,EXTREME WINTER WEATHER,Snowstorm,1958-03-13T00:00:00.000Z,1958-03-13T00:00:00.000Z,Turndown,1958-03-13T00:00:00.000Z,0,0,0,0,58005,1958-03-13T00:00:00.000Z,f77c5f22-44fe-4797-9c1c-36895a7e3ae8
58006,5,WI,Wisconsin                     ,0,1958-06-12T00:00:00.000Z,Major Disaster,TORNADO,Tornado,1958-06-12T00:00:00.000Z,1958-06-12T00:00:00.000Z,Turndown,1958-06-12T00:00:00.000Z,0,0,0,0,58006,1958-06-12T00:00:00.000Z,c4c28860-8212-4c98-9a02-9eb6f2627424
58007,3,WV,West Virginia                 ,0,1958-08-14T00:00:00.000Z,Major Disaster,FLASH FLOOD,Flood,1958-08-14T00:00:00.000Z,1958-08-14T00:00:00.000Z,Turndown,1958-08-14T00:00:00.000Z,0,0,0,0,58007,1958-08-14T00:00:00.000Z,a4660876-e4bc-46c8-994c-819c6ca354d9
58008,5,OH,Ohio                          ,0,1958-08-22T00:00:00.000Z,Major Disaster,EXCESSIVE RAINFALL,Severe Storm,1958-08-22T00:00:00.000Z,1958-08-22T00:00:00.000Z,Turndown,1958-08-22T00:00:00.000Z,0,0,0,0,58008,1958-08-22T00:00:00.000Z,ec19811f-d081-4286-89ca-3903ea5135f5
58009,6,OK,Oklahoma                      ,0,1958-08-26T00:00:00.000Z,Major Disaster,"FLOODS, WIND & HAIL",Flood,1958-08-26T00:00:00.000Z,1958-08-26T00:00:00.000Z,Turndown,1958-08-26T00:00:00.000Z,0,0,0,0,58009,1958-08-26T00:00:00.000Z,8b4b6de4-7f08-458b-980c-7d0c94e89553
